Business Unit,Storage Location
HMS Al Garhoud Hospital,HMS Al Garhoud Hospital WH
Oman Factory Production,Oman Factory WH
Chocolala Al Araimi,Al Araimi WH
Barka,Barka WH
Al-Amirat,Al Amirat WH
Madinati Mall Zayed,Madinat Zayed WH
HEAD OFFICE,Head Office Main
Chocolala LLC,In Transit- Chocolala LLC (643223)
Atayeb Chocolate - Sole Proprietorship L.L.C,In Transit- Atayeb
Chocolala LLC One Person,In Transit- Chocolala LLC One Person
Chocolala LLC Sole Proprietorship,In Transit- Chocolala LLC Sole Proprietorship
Chocola Pure - Sole Proprietorship LLC,In Transit- Chocola Pure - Sole Proprietorship LLC
Chocola Pure LLC. One Person,In Transit- Chocola Pure LLC. One Person
CHOCOLALA LLC,In Transit- CHOCOLALA LLC - (0839)
ALABSI AND PARTNERS TRADING,In Transit- Oman
Chocolala for Trading,In Transit- Qatar
CHOCOLALA - FOREIGN BRANCH COMPANY,In Transit- Bahrain
CHOCOLALA FACTORY LLC (ONE PERSON),In Transit- CHOCOLALA FACTORY LLC (ONE PERSON)
PRODUCTION,Cakes & Others Receiving Area
Delivery Dispatch Area,Delivery Dispatch Area WH
Finished Goods Store,Finished Goods Store WH
DECORATION STORE,Packaging WH
DECORATION STORE,Decoration Store Ext
HEAD OFFICE,Head Office Barista
PRODUCTION,Wrapping Section
PRODUCTION,Tartufa Section
PRODUCTION,Tamriya Section
PRODUCTION,Sugar Cake Section
PRODUCTION,Petifour Section
PRODUCTION,Open Belgium Section
PRODUCTION,Normal Cake Section
PRODUCTION,Italian Chocolates Section
PRODUCTION,Ice Cream Section
PRODUCTION,Factory Receiving Area
PRODUCTION,Factory Produced Area
PRODUCTION,Egg Chocolate Section
PRODUCTION,Digital/Graphic Design Section
PRODUCTION,Consumables Store
PRODUCTION,Chef Shadi Section
PRODUCTION,Boxing and Packaging Section
PRODUCTION,Belgium Section Section
PRODUCTION,Baklawa Section
PRODUCTION,Arabic Sweet Section
PRODUCTION,Arabic Coffee Section
Chocolala Ajman 2,Ajman 2 WH
DECORATION STORE,Decoration Store Main
RAW MATERIAL STORE,Raw Material Store WH
WORKSHOP,Workshop WH
ACRYLIC SECTION,Creator Workshop Section WH
PRODUCTION,Production WH
AL ASEEF,AI ASEEF WH
Janebia Hamad Town,Janebia Hamad Town HW
District 1,District WH
Bahrain City Center,Bahrain City Center WH
AL Rayyan,AI Rayyan WH
Busaiteen,Busaiteen WH
Villa Bahrain/Riffa,Villa Bahrain/Riffa WH
Chocolala Al Khoud,Chocolala Al Khoud WH
Chocolala Sohar 2,Chocolala Sohar 2 WH
Chocolala Sur Oman,Chocolala Sur Oman WH
Mall Of Muscat,Mall Of Muscat WH
