PRODUCT CODE,CATEGORY,CATEGORY,REPORT SUB,ISSUE/RECEIPT
,ACCESSORIES,ACCESSORIES Packet,Consumption Items,ADJUSTMENT
,ACCESSORIES,ACCESSORIES Pieces,Consumption Items,ADJUSTMENT
,ACRYLIC TRAY,ACRYLIC TRAY Pieces,Empty Boxes/Trays,ADJUSTMENT
,ARTIFICIAL FLOWERS,ARTIFICIAL FLOWERS Bunch,Consumption Items,WASTAGE
,ARTIFICIAL FLOWERS,ARTIFICIAL FLOWERS Head,Consumption Items,WASTAGE
,ARTIFICIAL FLOWERS,ARTIFICIAL FLOWERS Pieces,Consumption Items,WASTAGE
,BAGS,BAGS Pieces,Consumption Items,WASTAGE
,BELGIUM- OPEN,BELGIUM- OPEN Kilogram,Chocolates,ADJUSTMENT
,BELGIUM- WRAPPED,BELGIUM- WRAPPED Kilogram,Chocolates,ADJUSTMENT
,BOWLS,BOWLS Pieces,Consumption Items,ADJUSTMENT
,BOXES,BOXES Pieces,Empty Boxes/Trays,WASTAGE
,BOXES,BOXES Unit,Empty Boxes/Trays,WASTAGE
,CLEANING ITEM,CLEANING ITEM Can,Consumption Items,WASTAGE
,CLEANING ITEM,CLEANING ITEM Packet,Consumption Items,WASTAGE
,CLEANING ITEM,CLEANING ITEM Pieces,Consumption Items,WASTAGE
,CLEANING ITEM,CLEANING ITEM Rolls,Consumption Items,WASTAGE
,CUPS,CUPS Packet,Consumption Items,ADJUSTMENT
,CUPS,CUPS Pieces,Consumption Items,ADJUSTMENT
,DECORATIVE,DECORATIVE Pieces,Consumption Items,WASTAGE
,DISPOSABLE,DISPOSABLE Packet,Consumption Items,WASTAGE
,DISPOSABLE,DISPOSABLE Pieces,Consumption Items,WASTAGE
,DISPOSABLE,DISPOSABLE Rolls,Consumption Items,WASTAGE
,FINI- ACRYLIC BOX,FINI- ACRYLIC BOX Pieces,Chocolate Trays & Boxes,ADJUSTMENT
,FINI- ARABIC COFFEE,FINI- ARABIC COFFEE Jar,Chocolate Trays & Boxes,ADJUSTMENT
,FINI- ARABIC COFFEE,FINI- ARABIC COFFEE Pieces,Chocolate Trays & Boxes,ADJUSTMENT
,FINI- ASSORTED,FINI- ASSORTED Kilogram,Chocolates,ADJUSTMENT
,FINI- ASSORTED,FINI- ASSORTED Packet,Chocolate Trays & Boxes,ADJUSTMENT
,FINI- BAKLAWA,FINI- BAKLAWA Kilogram,Chocolates,ADJUSTMENT
,FINI- BOXES,FINI- BOXES Packet,Chocolate Trays & Boxes,ADJUSTMENT
,FINI- BOXES,FINI- BOXES Pieces,Chocolate Trays & Boxes,ADJUSTMENT
,FINI- CAKE TOPPER,FINI- CAKE TOPPER Pieces,Chocolate Trays & Boxes,ADJUSTMENT
,FINI- CAKES,FINI- CAKES Kilogram,Chocolates,ADJUSTMENT
,FINI- CAKES,FINI- CAKES Pieces,Chocolate Trays & Boxes,ADJUSTMENT
,FINI- CHOCOLATE,FINI- CHOCOLATE Kilogram,Chocolates,ADJUSTMENT
,FINI- CHOCOLATE,FINI- CHOCOLATE Pieces,Chocolates,ADJUSTMENT
,FINI- EGGS,FINI- EGGS Kilogram,Chocolates,ADJUSTMENT
