Product Code,Product Name,Product Category,UOM,UPC,Bill of Materials,Batched Product
106688,MIXED BAKLAWA IN TRAY (3894) 450G,FINI- TRAYS,Pieces,1315214006593,Y,Y
110365,BLUE COLORANT POWDER FOR CHOC AND FAT,BELGIUM- OPEN,Kilogram,1351210110365,N,N
101034,BUTTER,CHEESE & BUTTER,Kilogram,1351214000005,N,N
101146,COFFEE RAW MATERIAL NICARAGUA SC GREEN COFFEE BEAN,COFFEE,Kilogram,1351214000009,N,N
101038,GHEE,CHEESE & BUTTER,Kilogram,1351214000016,N,N
101852,HONEY,SYRUP,Kilogram,1351214000017,N,N
107519,BAKLAWA TRAY,ACCESSORIES,Pieces,1351214000025,N,N
101217,ALMOND KERNEL BLANCHED,DRY-FRUITS & NUTS,Kilogram,1351214000029,N,N
101659,ALMOND POWDER,POWDER,Kilogram,1351214000031,N,N
101218,ALMOND SLICE,DRY-FRUITS & NUTS,Kilogram,1351214000032,N,N
101220,ALMONDNUTS FRESH,DRY-FRUITS & NUTS,Kilogram,1351214000033,N,N
102001,ARABIC SWEETS BISCUIT ROLL-BROOPL-01,BISCUITS,Kilogram,1351214000035,N,N
101384,BASE PROTEINGEL,PASTE & CREAMS,Kilogram,1351214000037,N,N
101385,BASE TOTALBASE,PASTE & CREAMS,Kilogram,1351214000038,N,N
101386,BASE VITTORIA SUPER 100,PASTE & CREAMS,Kilogram,1351214000039,N,N
101672,BLUE SYNTHETIC POWDER,POWDER,Pieces,1351214000048,N,N
101393,BLUEBERRY FILLING,FILLINGS,Kilogram,1351214000049,N,N
101395,BRIS. CREPE PREMIUM,PASTE & CREAMS,Kilogram,1351214000050,N,N
102006,BUTTER MINI PALET 6KG,BISCUITS,Kilogram,1351214000051,N,N
104468,BUTTERFLY DECORATION,ACCESSORIES,Pieces,1351214000052,N,N
101409,CARAVELLA GRAN RIPIENO WHITE,PASTE & CREAMS,Kilogram,1351214000057,N,N
101411,CARAVELLA MILK FLAKES,PASTE & CREAMS,Kilogram,1351214000059,N,N
101228,CASHEW BLANCHED,DRY-FRUITS & NUTS,Kilogram,1351214000060,N,N
101417,CHOCOLATE SPONGE MIX (TEGRAL EXTRA SPONGE CHOCOLATE BP 4117959),PASTE & CREAMS,Kilogram,1351214000066,N,N
101690,COCONUT PUREE WITH SUGAR,POWDER,Kilogram,1351214000068,N,N
101422,COLD CUSTARD,PASTE & CREAMS,Kilogram,1351214000069,N,N
101357,"COOKING OIL ( SUNLITE, NOOR, AFIA,COROLI )""",OIL,Litre,1351214000071,N,N
101430,CREAME BRULEE SIEBIN 1KG,PASTE & CREAMS,Kilogram,1351214000075,N,N
101159,DEODORISED COCOA BUTTER KGS,COLOUR & FLAVOUR,Kilogram,1351214000080,N,N
101701,DEXTROSE POWDER,POWDER,Kilogram,1351214000081,N,N
101311,EGGS 30s,EGGS,Pieces,1351214000084,N,N
101710,EXTRA COCOA POWDER,POWDER,Kilogram,1351214000086,N,N
101457,FISH GELATINE,PASTE & CREAMS,Kilogram,1351214000088,N,N
101714,KFMBC WHITE FLOUR NO 1,POWDER,Kilogram,1351214000090,N,N
101178,FOSTER CLARKS FOOD COLOUR RED,COLOUR & FLAVOUR,Bottle,1351214000095,N,N
101468,GELITA EDIBLE LEAF GELATINE 25XKGS,PASTE & CREAMS,Kilogram,1351214000098,N,N
101026,GHAZAL BANAT(COTTON CANDY),CANDY,Pieces,1351214000099,N,N
101472,GLUCOSE LIQUID AMBUJA-INDIA (1X27LTR),SYRUP,Litre,1351214000100,N,N
101181,GREEN COLORANT POWDER FOR CHOC AND FAT,COLOUR & FLAVOUR,Pieces,1351214000102,N,N
101266,HAZELNUT NATURAL 13-15MM,DRY-FRUITS & NUTS,Kilogram,1351214000105,N,N
101853,HONEY NATURAL,SYRUP,Kilogram,1351214000106,N,N
101245,DRIED FIGS JUMBO A,DRY-FRUITS & NUTS,Kilogram,1351214000107,N,N
102027,LOACKER MINIS NAPOLITANER 7X150G,BISCUITS,Packet,1351214000108,N,N
102028,LOACKER NAPOLITANER 175G,BISCUITS,Packet,1351214000109,N,N
102029,LOACKER QUADRATINI COCONUT 125G,BISCUITS,Box,1351214000110,N,N
102032,LOACKER SANDWICH CHOCOLATE 28X75G,BISCUITS,Pieces,1351214000111,N,N
102035,LOTUS BISCUIT 250GX10PKT,BISCUITS,Packet,1351214000114,N,N
101039,LURPAK GHEE 1KG,CHEESE & BUTTER,Kilogram,1351214000115,N,N
101922,MANGO TOPPING ALFONSO,RAW MATERIALS,Kilogram,1351214000117,N,N
101491,MARZIPAN RAW PASTE/ CALIFORNIA ALMOND 65%,PASTE & CREAMS,Kilogram,1351214000119,N,N
101499,MISKEH FILLING ( REPIENO ),FILLINGS,Kilogram,1351214000120,N,N
101042,MMFILL 33C BUTTER 1X20KG,CHEESE & BUTTER,Kilogram,1351214000121,N,N
101148,NESCAFE ( COFFEE ),COFFEE,Kilogram,1351214000123,N,N
104583,SUGAR PEARLS GLOSSY WHITE 6MM,DECORATIVE,Kilogram,1351214000135,N,N
101287,PECAN NUT KERNEL 13.608 KG,DRY-FRUITS & NUTS,Kilogram,1351214000137,N,N
101534,PINOPINGUINO,PASTE & CREAMS,Kilogram,1351214000138,N,N
101536,PISTACHIO FILLING PIECES BANO,SEMI FINI- PASTE & CREAMS,Kilogram,1351214000140,N,N
101293,PISTACHIO KERNEL 1X10KG,DRY-FRUITS & NUTS,Kilogram,1351214000141,N,N
101294,PISTACHIO KERNEL GREEN (SYRIAN),DRY-FRUITS & NUTS,Kilogram,1351214000142,N,N
101541,PIUCREMOSO W/ HYDRO FAT,PASTE & CREAMS,Kilogram,1351214000143,N,N
101549,PURATOS CLASSIC CARAMEL,PASTE & CREAMS,Kilogram,1351214000145,N,N
101550,PURATOS CLASSIC MOCHA,PASTE & CREAMS,Kilogram,1351214000146,N,N
101552,PURATOS DELI CARAMEL,PASTE & CREAMS,Kilogram,1351214000147,N,N
103268,RICE CRISPIES GEMEF 4MM GRAINS,DECORATIVE,Kilogram,1351214000153,N,N
100934,WATER GALLON (G001),RAW MATERIALS,Gallon,1351214000154,N,N
101579,ROSA PLUS,PASTE & CREAMS,Kilogram,1351214000155,N,N
101299,SAGAI DATES JUMBO,DRY-FRUITS & NUTS,Kilogram,1351214000157,N,N
101768,SORBITOL POWDER E420i,POWDER,Kilogram,1351214000158,N,N
101587,"SCHNELLKREM,BASIC BUTTER CREAM SEIBIN""",PASTE & CREAMS,Kilogram,1351214000159,N,N
101301,SESAME SEED (ROASTED),DRY-FRUITS & NUTS,Pieces,1351214000160,N,N
102046,SPECULOUS GRINDED BISCUIT,BISCUITS,Kilogram,1351214000162,N,N
101594,SPRINT FARM CHEESE,PASTE & CREAMS,Kilogram,1351214000163,N,N
101600,TAHINA,PASTE & CREAMS,Kilogram,1351214000165,N,N
101778,TEGRAL SATIN CREAM CAKE CHOCOLATE (4117904),POWDER,Kilogram,1351214000166,N,N
101255,TUKISH DRIED APRICOTS JUMBO A - 5KG X 3,DRY-FRUITS & NUTS,Kilogram,1351214000167,N,N
101614,VANILLA AROMA ( MAURITIUS FLAVOR ),PASTE & CREAMS,Kilogram,1351214000170,N,N
101613,VANILLA 30 PLUS,PASTE & CREAMS,Kilogram,1351214000171,N,N
101792,VANILLA SPONGE MIX,POWDER,Kilogram,1351214000172,N,N
